1,abnormal,Negative
2,abolish,Negative
3,abominable,Negative
4,abominably,Neutral
5,abominate,Negative
6,abomination,Negative
7,abort,Negative
8,aborted,Negative
9,aborts,Negative
10,abrade,Neutral
11,abrasive,Neutral
12,abrupt,Neutral
13,abruptly,Neutral
14,abscond,Negative
15,absence,Neutral
16,absent-minded,Negative
17,absentee,Neutral
18,absurd,Negative
19,absurdity,Negative
20,absurdly,Negative
21,absurdness,Negative
22,abuse,Negative
23,abused,Negative
24,abuses,Negative
25,abusive,Negative
26,abysmal,Negative
27,abysmally,Negative
28,abyss,Neutral
29,accidental,Neutral
30,accost,Neutral
31,able,Positive
32,abundance,Positive
33,accelerate,Positive
34,accept,Positive
35,acclaim,Positive
36,accolade,Neutral
37,accomplish,Positive
38,accord,Positive
39,accredit,Neutral
40,accrue,Neutral
41,ace,Positive
42,achieve,Positive
43,action,Neutral
44,activate,Neutral
45,active,Neutral
46,add,Neutral
47,addition,Neutral
48,adept,Neutral
49,admirable,Positive
50,adorable,Positive
51,advance,Positive
52,advantage,Positive
53,adventure,Neutral
54,affable,Positive
55,affirm,Positive
56,ageless,Positive
57,agree,Positive
58,agreeable,Positive
59,aid,Positive
60,aim,Neutral
61,accursed,Negative
62,accusation,Negative
63,accusations,Negative
64,accuse,Negative
65,accuses,Negative
66,accusing,Negative
67,accusingly,Negative
68,acerbate,Negative
69,acerbic,Negative
70,acerbically,Negative
71,ache,Negative
72,ached,Negative
73,aches,Negative
74,aching,Negative
75,acrid,Negative
76,acridly,Negative
77,acridness,Negative
78,acrimonious,Negative
79,acrimoniously,Negative
80,acrimony,Negative
81,alacrity,Positive
82,alert,Neutral
83,alight,Neutral
84,alive,Positive
85,all,Neutral
86,altruistic,Positive
87,always,Neutral
88,amaze,Positive
89,amazement,Positive
90,amazing,Positive
91,ambition,Positive
92,amiable,Positive
93,amity,Positive
94,amuse,Positive
95,anew,Neutral
96,angel,Positive
97,appealing,Positive
98,applaud,Positive
99,appreciate,Positive
100,approve,Positive
